iter	Passed	Remaining
0	26	110858
1	48	103185
2	68	96389
3	84	89269
4	101	86193
5	114	81178
6	129	78735
7	145	76909
8	163	76779
9	178	75447
10	190	73384
11	205	72485
12	221	72296
13	238	72161
14	255	72210
15	271	71920
16	286	71248
17	304	71470
18	319	71018
19	329	69584
20	346	69630
21	361	69434
22	376	69134
23	394	69477
24	413	69886
25	433	70416
26	453	70886
27	473	71381
28	493	71714
29	512	72034
30	526	71542
31	537	70754
32	549	70164
33	561	69574
34	581	70019
35	602	70484
36	622	70798
37	641	71008
38	660	71297
39	684	71997
40	707	72579
41	729	73061
42	749	73277
43	764	72981
44	784	73229
45	804	73515
46	814	72776
47	833	72900
48	846	72539
49	865	72641
50	887	73032
51	901	72758
52	916	72485
53	940	73001
54	957	73011
55	980	73393
56	1005	73890
57	1026	74135
58	1046	74283
59	1066	74397
60	1080	74135
61	1100	74310
62	1121	74450
63	1141	74580
64	1161	74758
65	1171	74182
66	1189	74194
67	1205	74082
68	1214	73553
69	1227	73224
70	1243	73112
71	1252	72621
72	1267	72444
73	1281	72269
74	1297	72179
75	1311	71998
76	1324	71723
77	1341	71724
78	1355	71515
79	1366	71165
80	1381	71058
81	1398	71046
82	1413	70911
83	1429	70843
84	1447	70856
85	1461	70735
86	1472	70418
87	1487	70287
88	1503	70218
89	1512	69850
90	1525	69688
91	1543	69702
92	1552	69354
93	1566	69198
94	1574	68794
95	1589	68735
96	1604	68639
97	1618	68537
98	1630	68336
99	1644	68188
100	1657	68051
101	1670	67869
102	1686	67843
103	1704	67900
104	1711	67519
105	1722	67304
106	1740	67335
107	1747	66968
108	1758	66758
109	1766	66455
110	1782	66401
111	1791	66145
112	1798	65790
113	1812	65724
114	1819	65377
115	1835	65377
116	1845	65156
117	1862	65178
118	1879	65212
119	1893	65123
120	1905	64967
121	1915	64781
122	1936	64935
123	1948	64781
124	1958	64593
125	1971	64471
126	1979	64215
127	1987	63955
128	1996	63725
129	2003	63453
130	2017	63390
131	2023	63073
132	2033	62886
133	2040	62631
134	2050	62448
135	2056	62159
136	2066	61999
137	2073	61746
138	2089	61749
139	2104	61730
140	2119	61709
141	2135	61720
142	2142	61474
143	2155	61410
144	2161	61153
145	2168	60904
146	2184	60917
147	2190	60668
148	2197	60444
149	2204	60217
150	2212	60014
151	2221	59849
152	2232	59726
153	2241	59568
154	2248	59355
155	2255	59145
156	2262	58951
157	2270	58764
158	2287	58806
159	2294	58615
160	2305	58507
161	2318	58461
162	2327	58320
163	2335	58153
164	2350	58150
165	2357	57959
166	2367	57851
167	2383	57858
168	2393	57748
169	2400	57558
170	2413	57533
171	2423	57428
172	2439	57455
173	2446	57277
174	2454	57117
175	2463	56970
176	2471	56837
177	2480	56702
178	2487	56533
179	2494	56371
180	2502	56223
181	2510	56074
182	2518	55925
183	2527	55804
184	2544	55859
185	2558	55867
186	2575	55920
187	2591	55951
188	2602	55886
189	2612	55773
190	2619	55622
191	2626	55467
192	2636	55372
193	2649	55360
194	2655	55183
195	2663	55059
196	2681	55120
197	2689	55007
198	2697	54868
199	2705	54743
200	2717	54701
201	2727	54616
202	2742	54625
203	2756	54631
204	2772	54658
205	2791	54766
206	2807	54789
207	2827	54913
208	2840	54888
209	2852	54839
210	2867	54842
211	2884	54908
212	2894	54820
213	2904	54744
214	2920	54762
215	2931	54703
216	2940	54607
217	2947	54482
218	2963	54502
219	2975	54474
220	2985	54391
221	3000	54405
222	3010	54330
223	3027	54377
224	3042	54380
225	3057	54390
226	3073	54428
227	3089	54466
228	3098	54367
229	3114	54388
230	3130	54433
231	3140	54340
232	3148	54235
233	3155	54122
234	3164	54028
235	3181	54065
236	3190	53982
237	3205	53991
238	3217	53960
239	3228	53895
240	3237	53815
241	3247	53739
242	3256	53653
243	3269	53635
244	3285	53669
245	3306	53779
246	3341	54118
247	3381	54531
248	3404	54658
249	3424	54745
250	3444	54832
251	3463	54911
252	3483	54985
253	3501	55050
254	3520	55119
255	3539	55185
256	3559	55256
257	3579	55348
258	3600	55442
259	3620	55525
260	3638	55574
261	3657	55627
262	3680	55748
263	3703	55880
264	3728	56031
265	3754	56185
266	3776	56298
267	3797	56387
268	3819	56482
269	3840	56574
270	3862	56664
271	3887	56806
272	3919	57057
273	3951	57292
274	3980	57486
275	4007	57655
276	4032	57791
277	4067	58077
278	4098	58283
279	4124	58431
280	4152	58612
281	4179	58769
282	4204	58890
283	4230	59039
284	4255	59158
285	4277	59242
286	4301	59351
287	4326	59471
288	4349	59570
289	4371	59647
290	4393	59728
291	4416	59818
292	4440	59925
293	4465	60040
294	4490	60153
295	4514	60254
296	4541	60399
297	4568	60541
298	4593	60650
299	4615	60730
300	4639	60827
301	4663	60918
302	4689	61040
303	4710	61102
304	4734	61195
305	4752	61202
306	4772	61254
307	4781	61146
308	4788	61025
309	4807	61051
310	4817	60974
311	4836	60995
312	4858	61068
313	4884	61183
314	4904	61224
315	4928	61311
316	4955	61435
317	4981	61553
318	5009	61687
319	5037	61825
320	5065	61951
321	5089	62034
322	5114	62137
323	5127	62085
324	5140	62038
325	5165	62132
326	5192	62243
327	5214	62307
328	5243	62445
329	5267	62528
330	5291	62600
331	5312	62650
332	5339	62754
333	5367	62882
334	5393	62981
335	5423	63128
336	5444	63172
337	5468	63242
338	5485	63241
339	5506	63273
340	5527	63316
341	5545	63323
342	5570	63402
343	5589	63417
344	5611	63470
345	5632	63498
346	5653	63541
347	5663	63459
348	5681	63462
349	5701	63486
350	5720	63495
351	5729	63400
352	5746	63392
353	5757	63311
354	5767	63234
355	5777	63151
356	5787	63062
357	5798	62985
358	5807	62897
359	5815	62789
360	5822	62675
361	5831	62585
362	5838	62470
363	5846	62372
