iter	Passed	Remaining
0	41	35277
1	79	33436
2	90	25281
3	129	27202
4	149	24996
5	188	26293
6	228	27235
7	249	26035
8	286	26550
9	325	27077
10	363	27477
11	374	25912
12	411	26271
13	420	24895
14	442	24449
15	471	24366
16	493	24002
17	531	24363
18	544	23623
19	581	23946
20	595	23324
21	655	24476
22	699	24942
23	714	24395
24	727	23803
25	738	23192
26	750	22696
27	791	23040
28	829	23292
29	840	22776
30	860	22530
31	883	22399
32	906	22251
33	951	22635
34	979	22607
35	997	22354
36	1035	22565
37	1057	22391
38	1079	22245
39	1092	21933
40	1105	21622
41	1120	21367
42	1132	21072
43	1157	21018
44	1169	20730
45	1207	20913
46	1219	20649
47	1232	20418
48	1244	20169
49	1253	19887
50	1267	19690
51	1280	19482
52	1290	19238
53	1311	19169
54	1326	19000
55	1342	18861
56	1354	18673
57	1367	18508
58	1405	18675
59	1417	18503
60	1428	18311
61	1445	18213
62	1457	18041
63	1473	17941
64	1482	17740
65	1494	17595
66	1503	17415
67	1517	17294
68	1535	17227
69	1544	17055
70	1556	16920
71	1578	16903
72	1593	16806
73	1601	16640
74	1633	16732
75	1644	16597
76	1654	16458
77	1662	16308
78	1674	16195
79	1683	16053
80	1691	15914
81	1704	15822
82	1714	15697
83	1727	15608
84	1761	15704
85	1774	15616
86	1787	15534
87	1802	15461
88	1812	15353
89	1824	15261
90	1837	15188
91	1852	15121
92	1865	15047
93	1878	14968
94	1890	14885
95	1901	14796
96	1913	14717
97	1930	14676
98	1941	14588
99	1954	14521
100	1963	14426
101	1979	14380
102	1992	14311
103	2005	14252
104	2018	14184
105	2026	14091
106	2037	14013
107	2048	13939
108	2057	13857
109	2067	13776
110	2077	13699
111	2087	13625
112	2098	13557
113	2110	13495
114	2121	13431
115	2133	13369
116	2147	13322
117	2158	13259
118	2170	13207
119	2188	13187
120	2204	13155
