iter	Passed	Remaining
0	40	33685
1	61	25875
2	75	21074
3	98	20682
4	116	19506
5	152	21299
6	194	23171
7	232	24240
8	269	24997
9	286	23840
10	300	22739
11	341	23679
12	382	24394
13	393	23302
14	408	22560
15	428	22137
16	440	21385
17	461	21166
18	486	21093
19	514	21167
20	553	21652
21	594	22182
22	636	22678
23	653	22294
24	684	22403
25	695	21850
26	706	21362
27	727	21168
28	750	21057
29	761	20644
30	770	20192
31	783	19858
32	804	19750
33	822	19559
34	836	19300
35	857	19218
36	889	19382
37	928	19662
38	940	19389
39	950	19086
40	966	18909
41	976	18629
42	1009	18775
43	1047	19020
44	1064	18880
45	1078	18689
46	1117	18920
47	1130	18719
48	1147	18593
49	1160	18399
50	1173	18222
51	1210	18406
52	1238	18464
53	1257	18366
54	1267	18164
55	1283	18035
56	1297	17888
57	1314	17788
58	1326	17620
59	1335	17433
60	1345	17248
61	1362	17165
62	1400	17342
63	1438	17508
64	1451	17369
65	1462	17214
66	1485	17200
67	1497	17065
68	1511	16955
69	1522	16817
70	1542	16775
71	1552	16630
72	1565	16518
73	1583	16454
74	1598	16370
75	1615	16303
76	1640	16320
77	1682	16505
78	1705	16490
79	1717	16382
80	1756	16526
81	1793	16647
82	1811	16591
83	1825	16491
84	1840	16412
85	1860	16374
86	1870	16257
87	1898	16284
88	1908	16169
89	1921	16073
90	1938	16020
91	1949	15913
92	1960	15808
93	1974	15734
94	1983	15617
95	1997	15546
96	2034	15646
97	2049	15576
98	2062	15502
99	2072	15400
100	2084	15316
101	2093	15206
102	2102	15108
103	2110	14998
104	2121	14914
105	2129	14806
106	2140	14725
107	2153	14652
108	2174	14642
109	2184	14553
110	2201	14516
111	2214	14454
112	2224	14369
113	2237	14310
114	2254	14273
115	2265	14197
116	2304	14298
117	2311	14204
118	2322	14132
119	2333	14061
120	2341	13974
121	2355	13923
122	2368	13862
123	2378	13793
124	2392	13745
125	2415	13743
126	2452	13829
127	2470	13800
128	2484	13754
129	2501	13718
130	2538	13796
131	2553	13754
132	2563	13684
133	2580	13653
134	2590	13587
135	2602	13528
136	2611	13459
137	2624	13407
138	2634	13345
139	2648	13300
140	2660	13245
141	2669	13177
142	2682	13129
143	2698	13097
144	2712	13058
145	2728	13028
146	2745	12998
147	2766	12989
148	2780	12949
149	2798	12930
150	2815	12904
151	2828	12857
152	2842	12819
153	2856	12781
154	2872	12751
155	2884	12702
156	2908	12708
157	2919	12658
158	2932	12615
159	2943	12565
160	2953	12512
161	2963	12457
162	2973	12406
163	2982	12349
164	2996	12311
165	3006	12262
166	3019	12221
167	3031	12179
168	3042	12133
169	3053	12086
170	3062	12034
171	3074	11994
172	3084	11945
173	3096	11905
174	3110	11872
175	3118	11818
176	3129	11777
177	3138	11724
178	3150	11688
179	3161	11643
180	3170	11595
181	3182	11559
182	3194	11520
183	3204	11476
184	3213	11431
185	3225	11391
186	3236	11353
187	3244	11305
188	3256	11269
189	3266	11225
190	3275	11182
191	3283	11134
192	3294	11095
193	3303	11050
194	3314	11013
195	3325	10977
196	3334	10933
197	3345	10897
198	3357	10864
199	3366	10822
200	3378	10790
201	3389	10754
202	3398	10714
203	3410	10682
204	3422	10652
205	3432	10614
206	3442	10576
207	3451	10535
208	3460	10498
209	3470	10461
210	3479	10423
211	3490	10390
212	3497	10345
213	3507	10310
214	3517	10273
215	3524	10230
216	3532	10189
217	3543	10157
218	3556	10133
219	3569	10107
220	3577	10069
221	3588	10038
222	3599	10008
223	3608	9973
