year,selling_price,present_price,km_driven,mileage,engine,max_power,seats
0.9459459459459438,0.2992992992992993,0.0,0.0148272198253218,0.339047619047619,0.7644284128745839,0.43625,0.5
0.6756756756756772,0.011011011011011,0.0,0.0381278024246162,0.0,0.0,0.0,0.0
0.8648648648648631,0.069069069069069,0.0,0.0127089850435678,0.4142857142857142,0.4153718091009989,0.29325,0.3571428571428571
0.621621621621621,0.0220219219219219,0.0,0.1270936632582856,0.0,0.0,0.0,0.0
0.9729729729729756,0.5395395395395396,0.0,0.0031769285256746,0.3995238095238095,0.5535516093229745,0.475,0.3571428571428571
0.9459459459459438,0.3393393393393393,0.0,0.0093198093927613,0.4285714285714285,0.5463374028856826,0.475,0.3571428571428571
0.8108108108108141,0.1291291291291291,0.0,0.0247829232995657,0.0,0.0,0.0,0.0
0.7837837837837824,0.029029029029029,0.0,0.0466007415516323,0.0,0.0,0.0,0.0
0.7027027027027017,0.011011011011011,0.0,0.0321967450357049,0.0,0.0,0.0,0.0
0.6486486486486527,0.0065065065065065,0.0,0.0254183937340919,0.3833333333333333,0.220865704772475,0.0925,0.2857142857142857
0.567567567567572,0.039039039039039,0.0,0.0395745567805542,0.3119047619047618,0.6933962264150944,0.3525,0.5
0.7297297297297334,0.064064064064064,0.0,0.0677830893691726,0.3047619047619048,0.6920088790233074,0.255,0.5
0.8648648648648631,0.0889889889889889,0.0,0.0338913328611081,0.4683333333333333,0.4389567147613762,0.3155,0.3571428571428571
0.8918918918918948,0.0400399399399399,0.0,0.0508372111151403,0.5523809523809523,0.3462819089900111,0.1848499999999999,0.3571428571428571
0.8108108108108141,0.1641641641641641,0.0,0.0274468153610996,0.0,0.6046059933407325,0.2875,0.3571428571428571
0.9189189189189192,0.0415415415415415,0.0,0.0050833398292532,0.55,0.2769145394006659,0.1676,0.3571428571428571
0.7837837837837824,0.0385385385385385,0.0,0.0207582772142331,0.0,0.0,0.0,0.0
0.8918918918918948,0.029029029029029,0.0,0.0160981606943742,0.588095238095238,0.220865704772475,0.1182499999999999,0.3571428571428571
0.7567567567567579,0.037037037037037,0.0,0.0338913328611081,0.3238095238095237,0.7000554938956715,0.1574999999999999,0.5
0.8648648648648631,0.037037037037037,0.0,0.0211819241705839,0.4023809523809523,0.3321309655937847,0.205,0.3571428571428571
0.8648648648648631,0.054054054054054,0.0,0.0295625082611156,0.0,0.0,0.0,0.0
0.8108108108108141,0.0515515515515515,0.0,0.0239055504529632,0.4526190476190476,0.4053829078801332,0.271125,0.3571428571428571
0.7837837837837824,0.044044044044044,0.0,0.0423642719881242,0.4526190476190476,0.4053829078801332,0.271125,0.3571428571428571
0.8918918918918948,0.002002002002002,0.0132486925886537,0.0211819241705839,0.0,0.0,0.0,0.0
0.9459459459459438,0.0645645645645646,0.0,0.0066643902703544,0.5238095238095237,0.3321309655937847,0.2045,0.3571428571428571
0.8918918918918948,0.0635635635635635,0.0,0.0046596928729024,0.3404761904761905,0.4433962264150943,0.25875,0.3571428571428571
0.7567567567567579,0.019019019019019,0.0,0.0338913328611081,0.4761904761904761,0.3881798002219755,0.17,0.3571428571428571
0.7837837837837824,0.021021021021021,0.0,0.0423642719881242,0.5414285714285714,0.220865704772475,0.1182499999999999,0.3571428571428571
0.9459459459459438,0.2056056056056056,0.0,0.0101671033054629,0.3257142857142857,0.663984461709212,0.3695,0.5714285714285714
0.8378378378378386,0.034034034034034,0.0,0.0211819241705839,0.4333333333333333,0.3462819089900111,0.1845,0.5714285714285714
0.8918918918918948,0.034034034034034,0.0,0.0105907502618137,0.0,0.0,0.0,0.0
0.9459459459459438,0.069069069069069,0.0,0.0149449936791873,0.5666666666666667,0.4159267480577137,0.247425,0.3571428571428571
0.8378378378378386,0.034034034034034,0.0,0.0271129815594952,0.4847619047619047,0.3321309655937847,0.19725,0.3571428571428571
0.8918918918918948,0.0765765765765765,0.0,0.0220292180832855,0.563095238095238,0.3462819089900111,0.22125,0.3571428571428571
0.9729729729729756,0.1091091091091091,0.0,0.0021881365295518,0.0,0.0,0.0,0.0
0.8648648648648631,0.0565565565565565,0.0,0.0097434563491121,0.569047619047619,0.4389567147613762,0.3155,0.3571428571428571
0.8648648648648631,0.099099099099099,0.0,0.0563446215477009,0.3666666666666666,0.6046059933407325,0.3,0.5
0.9459459459459438,0.0575575575575575,0.0,0.0063542806983056,0.4238095238095238,0.332408435072142,0.21675,0.3571428571428571
0.8378378378378386,0.023023023023023,0.0,0.0711722650199791,0.530952380952381,0.3462819089900111,0.185,0.3571428571428571
0.6486486486486527,0.0205205205205205,0.0,0.0236390765174185,0.0,0.0,0.0,0.0
0.8648648648648631,0.074074074074074,0.2760144289302867,0.0116922323483258,0.0,0.0,0.0,0.0
0.8648648648648631,0.039039039039039,0.0,0.0254183937340919,0.5809523809523809,0.3107658157602663,0.1775,0.3571428571428571
0.9729729729729756,0.054054054054054,0.0,0.0105907502618137,0.0,0.0,0.0,0.0
0.9459459459459438,0.2892892892892893,0.0,0.0063542806983056,0.4345238095238095,0.5460599334073252,0.46935,0.3571428571428571
0.7837837837837824,0.054054054054054,0.0,0.0508372111151403,0.0,0.0,0.0,0.0
0.9189189189189192,0.0715715715715715,0.0,0.0169454546070758,0.4402380952380951,0.4142619311875694,0.25,0.5
0.8918918918918948,0.054054054054054,0.0,0.023933087505126,0.4333333333333333,0.3326859045504994,0.22175,0.3571428571428571
0.8918918918918948,0.0655655655655655,0.0,0.2372418719094954,0.0,0.0,0.0,0.0
0.9189189189189192,0.039039039039039,0.0,0.0211819241705839,0.4404761904761904,0.332408435072142,0.2169999999999999,0.3571428571428571
0.9729729729729756,0.0665665665665665,0.0,0.0069897511328319,0.5002380952380953,0.3321309655937847,0.2045,0.3571428571428571
0.621621621621621,0.01001001001001,0.0,0.0508372111151403,0.4119047619047619,0.2943951165371809,0.14375,0.3571428571428571
0.9729729729729756,0.054054054054054,0.0,0.0169454546070758,0.505,0.3321309655937847,0.2045,0.3571428571428571
0.9459459459459438,0.1391391391391391,0.0,0.0057332142602954,0.3399999999999999,0.4988901220865704,0.345075,0.3571428571428571
0.7567567567567579,0.049049049049049,0.0,0.0635466198056646,0.2807142857142857,0.6046059933407325,0.3,0.5714285714285714
0.9729729729729756,0.1916916916916917,0.0,0.0182163954761283,0.2704761904761904,0.7644284128745839,0.42875,0.5714285714285714
0.8648648648648631,0.0305305305305305,0.0,0.0190636893888299,0.0,0.0,0.0,0.0
0.8648648648648631,0.034034034034034,0.0,0.0211819241705839,0.0,0.0,0.0,0.0
0.9189189189189192,0.0659659659659659,0.0,0.0254183937340919,0.6761904761904761,0.3462819089900111,0.18505,0.3571428571428571
0.9189189189189192,0.044044044044044,0.0,0.0238466635260304,0.5714285714285714,0.3290788013318535,0.184925,0.3571428571428571
0.6486486486486527,0.0062062062062062,0.0,0.0169454546070758,0.4285714285714285,0.2760821309655938,0.155,0.3571428571428571
