iter	RMSE
0	0.06916708162
1	0.06535307888
2	0.06165382693
3	0.05838434263
4	0.05547701402
5	0.05285276818
6	0.05065426264
7	0.04879174413
8	0.04696136732
9	0.0453471717
10	0.04388672512
11	0.04272594738
12	0.04148487708
13	0.04058003342
14	0.03993799245
15	0.03935038978
16	0.03896835187
17	0.03836708702
18	0.03791699727
19	0.03742454539
20	0.03679322777
21	0.03654705299
22	0.03628582974
23	0.03598313839
24	0.03555948739
25	0.03536514523
26	0.03527672199
27	0.03514069895
28	0.03501913816
29	0.03486022399
30	0.03472274451
31	0.03465551607
32	0.03459953793
33	0.03447219681
34	0.03438930176
35	0.03436149374
36	0.03429174706
37	0.0342228305
38	0.03420568616
39	0.03418526438
40	0.0341650151
41	0.03415404194
42	0.0341414875
43	0.0341206591
44	0.03409548736
45	0.03408528959
46	0.03407661572
47	0.03406818212
48	0.03406494384
49	0.03405467291
50	0.03405281815
51	0.03405055726
52	0.03404703591
53	0.03404566603
54	0.03403203662
55	0.03403048912
56	0.03402930064
57	0.03402831105
58	0.03402776819
59	0.03402661839
60	0.03390231185
61	0.03390164514
62	0.03390006969
63	0.03389946217
64	0.03389918802
65	0.03389875818
66	0.03389829956
67	0.033821789
68	0.03382161769
69	0.03382146673
70	0.03382133952
71	0.03382124114
72	0.03373580119
73	0.03373571956
74	0.03373547979
75	0.03373542878
76	0.03373538457
77	0.03373518901
78	0.0336496141
79	0.0336496141
80	0.03364947771
81	0.0336494743
82	0.03364936178
83	0.03359401073
84	0.03354297767
85	0.03353722898
86	0.03352140603
87	0.03352026624
88	0.03347468233
89	0.0334574221
90	0.03345339246
91	0.03341362906
92	0.03333950795
93	0.03332078319
94	0.03328578568
95	0.03325570084
96	0.03325401371
97	0.03321882325
98	0.03319405643
99	0.03317238586
100	0.03315477447
101	0.03315477274
102	0.03313149912
103	0.03313149392
104	0.03313149046
105	0.0330996917
106	0.03309809542
107	0.03308518191
108	0.0330748617
109	0.03303198732
110	0.03303198385
111	0.03303198558
112	0.03303197864
113	0.0330319769
114	0.03303197864
115	0.03303197516
116	0.03303197516
117	0.03303074902
118	0.03303074728
119	0.03303074728
120	0.03303074728
121	0.03303074728
122	0.03303074728
123	0.03303074728
124	0.03303074728
125	0.03303074554
126	0.03303074381
127	0.03303074554
128	0.03303074207
129	0.03303074381
130	0.03303074207
131	0.03303074207
132	0.03303074381
133	0.03303074381
134	0.03303074381
135	0.03303074207
136	0.03303074033
137	0.03303074381
138	0.03303074033
139	0.03303074033
140	0.03303074033
141	0.03303074033
142	0.03303074033
143	0.03303074033
144	0.03303074033
145	0.03303074033
146	0.03303074033
147	0.03303074033
148	0.03303074033
149	0.03303074033
150	0.03303074033
151	0.03303074033
152	0.03303074033
153	0.03303074033
154	0.03303074033
155	0.03303074033
156	0.03303074033
157	0.03303074033
158	0.03303074033
159	0.03303074033
160	0.03303074033
161	0.03303074033
162	0.03303074033
163	0.03303074033
164	0.03303074033
165	0.03303074033
166	0.03303074033
167	0.03303074033
168	0.03303074033
169	0.03303074033
170	0.03303074033
171	0.03303074033
172	0.03303074033
173	0.03303074033
174	0.03303074033
175	0.03303074033
176	0.033025269
177	0.03297171155
178	0.03294340175
179	0.03291046255
180	0.03290993787
181	0.03290934867
182	0.03290887627
183	0.03290865488
184	0.03290846661
185	0.03290830797
186	0.03290817548
187	0.03290770655
188	0.03290757754
189	0.03290746772
190	0.03290737706
191	0.03290692903
192	0.03290668497
193	0.03290647751
194	0.03290630318
195	0.03290616719
196	0.03290600506
197	0.03290587082
198	0.03290575576
199	0.03290565987
200	0.03290557968
201	0.03290539488
202	0.03290523797
203	0.03290514383
204	0.03290506363
205	0.03290490498
206	0.03290482652
207	0.03290475853
208	0.03290459988
209	0.03290453014
210	0.03290447086
211	0.03290442379
212	0.03290438194
213	0.03290420062
214	0.03290405069
215	0.03290392167
216	0.03290381357
217	0.03290372291
218	0.03290362876
219	0.03290355031
220	0.03290344918
221	0.03290336549
222	0.03290327483
223	0.03290319812
224	0.03290313535
225	0.03290303423
226	0.03290296623
227	0.03290291044
228	0.03290280059
229	0.03290273085
230	0.03290262798
231	0.0329025408
232	0.0329024606
233	0.03290237517
234	0.03290230368
235	0.0329022165
236	0.03290214676
237	0.03290208748
238	0.03290198984
239	0.03290199158
240	0.03290199158
241	0.03290191138
242	0.03290190963
243	0.03290190963
244	0.03290184512
245	0.03290184512
246	0.03290184512
247	0.03290184512
248	0.03290184512
249	0.03290178758
250	0.0329017405
251	0.0329017405
252	0.0329017405
253	0.03290173876
254	0.03290173876
255	0.03290173876
256	0.0329017004
257	0.03290166553
258	0.03290154871
259	0.03290154871
260	0.03290151209
261	0.03290151209
262	0.03290147896
263	0.03290145281
264	0.03290145281
265	0.03290145281
266	0.03290145281
267	0.03290145281
268	0.03290145281
269	0.03290145281
270	0.03290145281
271	0.03290145281
272	0.03290145281
273	0.03290145281
274	0.03290145281
275	0.03290145281
276	0.03290145281
277	0.03290145281
278	0.03290145281
279	0.03290145281
280	0.03290145281
281	0.03290145281
282	0.03290133076
283	0.03290133076
284	0.03290133076
285	0.03290133076
286	0.03290133076
287	0.03290133076
288	0.03290133076
289	0.03290133076
290	0.03290133076
291	0.03290133076
292	0.03290133076
293	0.03290133076
294	0.03290133076
295	0.03290133076
296	0.03290133076
297	0.03290133076
298	0.03290133076
