iter	RMSE
0	0.08762384781
1	0.08244204895
2	0.07784321613
3	0.07355944953
4	0.06961687853
5	0.06599094238
6	0.06272312806
7	0.05995876578
8	0.05757812171
9	0.05496979359
10	0.05278951339
11	0.05119682246
12	0.04954637096
13	0.04829214168
14	0.04706955539
15	0.04579656103
16	0.04468174232
17	0.04369519957
18	0.04301126417
19	0.04218231739
20	0.04143376339
21	0.04074896921
22	0.04023670068
23	0.03981465882
24	0.03936531987
25	0.03906678049
26	0.03880466259
27	0.03838515814
28	0.03777968242
29	0.03756281055
30	0.03740665032
31	0.03708602406
32	0.03691334572
33	0.03675544844
34	0.03660501194
35	0.03649980993
36	0.03640507738
37	0.03626590853
38	0.03614606243
39	0.03608948319
40	0.03600678463
41	0.0359630064
42	0.03590992883
43	0.03587498585
44	0.03578725173
45	0.03574987431
46	0.03571556376
47	0.03567890509
48	0.03562760813
49	0.03560594978
50	0.03558481425
51	0.03555498923
52	0.03554636868
53	0.03552625736
54	0.03539798699
55	0.03537934992
56	0.03536330056
57	0.03533786047
58	0.03530451843
59	0.03529039177
60	0.03513198665
61	0.03509490637
62	0.03508905425
63	0.03508632606
64	0.0350606584
65	0.03504918929
66	0.03504506055
67	0.03503337961
68	0.03502394892
69	0.03500172038
70	0.0349930332
71	0.03498589745
72	0.03498513091
73	0.03498499154
74	0.03498372077
75	0.03498264263
76	0.03497650317
77	0.0349712238
78	0.03497031136
79	0.03496748573
80	0.03495962484
81	0.03495958997
82	0.03482066312
83	0.03482064047
84	0.0348143468
85	0.03481410582
86	0.03481408934
87	0.0348039173
88	0.03479708896
89	0.03476413583
90	0.03476392957
91	0.03466004821
92	0.03465987649
93	0.03465816658
94	0.03465804244
95	0.03465792969
96	0.03465782934
97	0.03465651761
98	0.03465251591
99	0.03465246625
100	0.03464390674
101	0.03463765962
102	0.03463703133
103	0.03463359673
104	0.03463357292
105	0.03463356775
106	0.03463062043
107	0.0346288252
108	0.03462746164
109	0.03462625334
110	0.03462447135
111	0.03462383764
112	0.03462304859
113	0.03452322469
114	0.03452320496
115	0.03452265974
116	0.03452264416
117	0.034518575
118	0.03451842128
119	0.03451840778
120	0.03441452289
121	0.03441450726
122	0.03441448747
123	0.03441398532
124	0.03441203294
125	0.03441174018
126	0.03441172767
127	0.03441147658
128	0.03431754326
129	0.03430683838
130	0.03424347272
131	0.03413923114
132	0.03413922274
133	0.03401177729
134	0.03401176886
135	0.03401157595
136	0.0340113957
137	0.03401122493
138	0.03400997154
139	0.03393056386
140	0.03393041487
141	0.03393040642
142	0.03393040536
143	0.03393026271
144	0.03393025532
145	0.03393025109
146	0.03393014226
147	0.03393005455
148	0.03390775811
149	0.03390768938
150	0.03390762383
151	0.0339075699
152	0.03390653685
153	0.03390648504
154	0.03390545512
155	0.03390540754
156	0.03390536207
157	0.03390458274
158	0.03390454467
159	0.03390386895
160	0.03390328522
161	0.03390278079
162	0.03390273426
163	0.03390229857
164	0.03390225521
165	0.033879096
166	0.033879096
167	0.033879096
168	0.033879096
169	0.03387653707
170	0.03387462039
171	0.0338737779
172	0.0338737779
173	0.03387305606
174	0.0338723469
175	0.03387174251
176	0.03387128631
177	0.03387082586
178	0.03387082374
179	0.03387082586
180	0.03387043104
181	0.03387043104
182	0.03387043104
183	0.03387043104
184	0.03387043209
185	0.03387043104
186	0.03387031989
187	0.03387031989
188	0.03387031989
189	0.0338702278
190	0.03387014523
191	0.03387014523
192	0.03387014523
193	0.03387007643
194	0.03387007643
195	0.03387007643
196	0.03387007643
197	0.03387007643
