iter	Passed	Remaining
0	24	20548
1	62	26213
2	76	21519
3	97	20481
4	128	21551
5	169	23664
6	201	24086
7	232	24317
8	249	23163
9	290	24158
10	331	25109
11	347	24074
12	388	24812
13	402	23808
14	416	22991
15	434	22434
16	447	21748
17	477	21900
18	489	21238
19	510	21025
20	533	20887
21	573	21399
22	585	20870
23	599	20444
24	615	20126
25	627	19704
26	636	19223
27	674	19632
28	704	19763
29	722	19579
30	734	19226
31	755	19151
32	772	18962
33	788	18767
34	805	18593
35	818	18355
36	834	18173
37	871	18459
38	896	18471
39	908	18238
40	926	18121
41	937	17888
42	950	17684
43	962	17483
44	979	17370
45	1009	17494
46	1024	17347
47	1041	17254
48	1064	17255
49	1079	17114
50	1092	16962
51	1124	17111
52	1135	16922
53	1152	16837
54	1167	16732
55	1179	16574
56	1193	16455
57	1224	16573
58	1261	16766
59	1273	16615
60	1311	16808
61	1344	16932
62	1356	16794
63	1367	16649
64	1408	16853
65	1431	16849
66	1443	16714
67	1462	16663
68	1482	16626
69	1519	16782
70	1531	16652
71	1546	16565
72	1556	16419
73	1568	16295
74	1579	16173
75	1590	16050
76	1606	15985
77	1618	15875
78	1627	15741
79	1637	15613
80	1651	15533
81	1658	15395
82	1695	15522
83	1704	15404
84	1719	15336
85	1730	15232
86	1741	15129
87	1756	15066
88	1770	14998
89	1787	14953
90	1797	14854
91	1834	14976
92	1843	14869
93	1855	14782
94	1863	14670
95	1873	14575
96	1884	14490
97	1896	14418
98	1908	14344
99	1919	14262
100	1956	14372
101	1970	14316
102	1981	14238
103	1991	14150
104	2003	14081
105	2013	13999
106	2024	13923
107	2046	13930
108	2060	13873
109	2081	13867
110	2095	13820
111	2105	13744
112	2120	13699
113	2158	13803
114	2167	13724
115	2179	13656
116	2186	13567
117	2203	13536
118	2213	13463
119	2221	13384
120	2260	13489
121	2268	13406
122	2278	13339
123	2292	13292
124	2305	13243
125	2315	13174
126	2324	13107
127	2335	13047
128	2372	13133
129	2409	13217
130	2426	13186
131	2463	13266
132	2472	13197
133	2509	13278
134	2519	13211
135	2531	13157
136	2543	13108
137	2555	13054
138	2567	13004
139	2608	13099
140	2624	13065
141	2639	13032
142	2650	12975
143	2667	12949
144	2682	12910
145	2694	12865
146	2709	12827
147	2723	12787
148	2760	12855
149	2768	12790
150	2780	12743
151	2792	12694
152	2803	12644
153	2813	12587
154	2825	12541
155	2834	12482
156	2847	12442
157	2861	12406
158	2871	12352
159	2881	12301
160	2892	12253
161	2904	12207
162	2916	12167
163	2928	12126
164	2938	12073
165	2977	12143
166	2985	12085
167	2994	12033
168	3004	11980
169	3041	12039
170	3078	12097
171	3089	12052
172	3097	11995
173	3106	11944
174	3117	11900
175	3128	11857
176	3139	11811
177	3149	11767
178	3158	11717
179	3167	11666
180	3177	11623
181	3185	11570
182	3194	11522
183	3205	11480
184	3213	11429
185	3222	11381
186	3229	11329
187	3239	11287
188	3246	11235
189	3256	11191
190	3263	11141
191	3272	11095
192	3279	11045
193	3288	11000
194	3296	10954
195	3304	10909
196	3312	10862
197	3321	10821
